;Instancia;Modularidad1;Time1;Best1;Dev1;Modularidad2;Time2;Best2;Dev2;Modularidad3;Time3;Best3;Dev3;Modularidad4;Time4;Best4;Dev4;Modularidad5;Time5;Best5;Dev5;Modularidad6;Time6;Best6;Dev6;Modularidad7;Time7;Best7;Dev7
49;graph49.gml;0.5;39.18007112;0;0.150404205;0.588515154;39.53445315;1;0;0.549122876;39.29186583;0;0.066935028;0.5;39.04475856;0;0.150404205;0.5;39.05414867;0;0.121590479;0.5;39.22619653;0;0.121590479;0.569210588;39.30950499;1;0
50;graph50.gml;0.547086694;39.17150235;0;0.11628716;0.569306034;39.21511531;0;0.08039611;0.619077453;39.21141911;1;0;0.481596053;39.30474353;0;0.222074636;0.490269402;39.09853435;0;0.019461195;0.469653066;39.12539744;0;0.060693868;0.5;39.23186421;1;0
51;graph51.gml;0.587183805;39.33915138;1;0;0.497787611;39.46831059;0;0.152245674;0.500626517;39.23146343;0;0.14741089;0.578862871;39.15548944;0;0.014170918;0.5;39.17282605;0;0.081975758;0.544647927;39.37805414;1;0;0.529102465;39.18217063;0;0.028542221
52;graph52.gml;0.5;39.55819893;0;0.13623757;0.5;39.06783319;0;0.13623757;0.50538291;38.93126011;0;0.12693846;0.578862871;39.38113189;1;0;0.488233221;39.15642071;0;0.20174619;0.611626547;39.16242814;1;0;0.49044561;39.19439363;0;0.198128968
53;graph53.gml;0.488761845;40.93377233;0;0.140962692;0.489055525;39.67369056;0;0.140446526;0.568964631;39.16997743;1;0;0.497082779;39.58420753;0;0.126337998;0.607721826;38.80890608;0;0.063988903;0.637568281;39.09724951;0;0.018019495;0.649267758;39.15393162;1;0
54;graph54.gml;0.619684392;39.33002043;1;0;0.551687681;39.24458241;0;0.109727971;0.506284752;39.32128382;0;0.182995798;0.562749628;39.385149;0;0.091877034;0.648786857;38.88252378;1;0;0.530268619;39.13378739;0;0.182676693;0.516386121;39.24944258;0;0.204074319
55;graph55.gml;0.575142924;39.42497754;1;0;0.514203099;39.17829823;0;0.105955967;0.475917016;39.18555593;0;0.172523914;0.488761845;39.03381348;0;0.150190632;0.486549456;39.00602198;0;0.063851428;0.497787611;39.3056097;0;0.042228584;0.519735296;39.16392303;1;0
56;graph56.gml;0.709480725;39.23289919;1;0;0.526548673;39.17030883;0;0.257839355;0.582836117;39.20712018;0;0.17850324;0.488761845;39.29015946;0;0.311099191;0.509652283;39.20148563;0;0.124125168;0.521731097;39.33061099;0;0.103366841;0.581877986;39.21578622;1;0
57;graph57.gml;0.504424779;39.6714077;0;0.05864299;0.5;39.32235289;0;0.066900508;0.495399013;39.09544659;0;0.075486865;0.535848539;39.21578932;1;0;0.523983867;39.03721642;0;0.130158872;0.5;39.4356091;0;0.169973369;0.602390311;39.30929852;1;0
58;graph58.gml;0.504072363;39.29302359;0;0.105544747;0.5;38.93903136;0;0.112770984;0.483875744;38.59408212;0;0.141382799;0.563552353;38.87271953;1;0;0.754424779;39.2974987;1;0;0.664558697;39.23394942;0;0.119118677;0.643589944;39.25694656;0;0.146913036
59;graph59.gml;0.551420922;39.60977769;1;0;0.489896184;39.14755702;0;0.111574906;0.497787611;38.90344667;0;0.097263831;0.498414128;38.925354;0;0.096127644;0.685449135;39.30276155;1;0;0.566821991;39.38742375;0;0.173064839;0.495575221;39.27325177;0;0.27700657
60;graph60.gml;0.553291908;39.20854497;0;0.071829884;0.486549456;39.15168428;0;0.183793115;0.531314854;39.23605347;0;0.108697303;0.596110453;39.15915585;1;0;0.550315951;39.24866867;0;0.229687372;0.461782442;39.23694229;0;0.353613418;0.714405983;39.01270437;1;0
61;graph61.gml;0.620996163;39.31750917;1;0;0.536905787;39.18083286;0;0.135412069;0.545205919;39.03792095;0;0.122046236;0.497787611;39.15439105;0;0.198404691;0.472746495;39.46603227;0;0.244668892;0.494694181;39.34046865;0;0.209601958;0.625879816;39.44209337;1;0
62;graph62.gml;0.614358994;39.20564198;0;0.135360786;0.674503436;38.77745342;0;0.050714442;0.710537973;38.98464584;1;0;0.474958885;39.03613281;0;0.331550314;0.54185919;38.93929529;0;0.236080274;0.709314306;39.13668108;1;0;0.56120169;39.22946715;0;0.208810982
63;graph63.gml;0.504424779;38.88280559;0;0.175655867;0.524336283;39.1048162;0;0.143115967;0.530621035;39.22535563;0;0.132845261;0.611910437;39.06743622;1;0;0.5;39.34324718;0;0.150404205;0.5;39.25732899;0;0.150404205;0.588515154;39.38487554;1;0
64;graph64.gml;0.630304595;39.00839996;1;0;0.53539823;38.98947644;0;0.150572225;0.5;39.36027837;0;0.206732739;0.513274336;39.15015221;0;0.185672546;0.545979276;39.15140676;1;0;0.484337066;39.29027009;0;0.112902105;0.477171274;39.17541552;0;0.126026765
65;graph65.gml;0.458315794;39.19152951;0;0.193073509;0.560184823;39.26207471;0;0.013719407;0.5;39.099962;0;0.119682868;0.567977132;39.10519743;1;0;0.499295168;39.37318635;0;0.001409664;0.498892582;39.15373635;0;0.002214837;0.5;39.14512515;1;0
66;graph66.gml;0.544874305;39.2491653;1;0;0.495575221;39.27175117;0;0.090477902;0.529661681;39.10490584;0;0.027919511;0.519789138;39.17729592;0;0.046038448;0.561260426;40.0311861;1;0;0.497435195;39.26986027;0;0.113717676;0.493186624;39.57442427;0;0.121287372
67;graph67.gml;0.581877986;39.08887482;1;0;0.485442037;39.08300304;0;0.165732251;0.517522907;38.93035364;0;0.110598923;0.516444857;39.29455924;0;0.112451632;0.641632078;39.47316241;1;0;0.513098128;38.97639656;0;0.200323447;0.547086694;39.31470609;0;0.147351398
68;graph68.gml;0.708199546;38.87791204;1;0;0.5;39.28764892;0;0.293984297;0.503141152;39.14026332;0;0.289548891;0.497787611;39.18571639;0;0.297108261;0.5;39.14044476;0;0.147055877;0.524629963;39.14510179;0;0.105039912;0.586204871;39.49425387;1;0
69;graph69.gml;0.733005717;39.15034151;1;0;0.579567703;39.13463044;0;0.209327172;0.641377555;39.11615729;0;0.125003339;0.641181768;38.54094648;0;0.12527044;0.473098911;39.22383332;0;0.209189685;0.486549456;39.14723468;0;0.186706375;0.598245751;39.26429892;1;0
70;graph70.gml;0.532481009;39.12600613;1;0;0.470357898;39.19123316;0;0.116667279;0.519030464;39.28082108;0;0.025260139;0.466207221;39.08511972;0;0.124462257;0.548103561;39.46017909;0;0.156483633;0.5;39.27723575;0;0.230513696;0.649784145;39.28698206;1;0
71;graph71.gml;0.495399013;39.11707592;0;0.009201974;0.5;39.09793401;1;0;0.474958885;39.22364473;0;0.05008223;0.484854677;39.36918378;0;0.030290645;0.449565354;39.21957946;0;0.365365182;0.487683795;39.3468399;0;0.311554786;0.708384319;39.04539824;1;0
72;graph72.gml;0.499921685;38.99391866;0;0.144102169;0.497905083;39.17272735;0;0.147554721;0.550003916;39.01470351;0;0.058358194;0.584090375;39.09101677;1;0;0.498510798;39.05002189;0;0.115413511;0.474958885;39.15793729;0;0.157205392;0.563552353;39.10963416;1;0
73;graph73.gml;0.515310518;38.9972384;0;0.238446584;0.676657089;39.12486315;1;0;0.629922811;39.14115882;0;0.069066413;0.5;39.23234797;0;0.261073285;0.597638813;39.04380941;0;0.144093386;0.58107526;39.18617916;0;0.167814827;0.698252359;39.16374254;1;0
74;graph74.gml;0.563552353;39.19719028;0;0.125543279;0.582150863;39.28025484;0;0.096684217;0.563552353;39.08062077;0;0.125543279;0.644459971;39.20978761;1;0;0.500400139;38.76820898;0;0.270821446;0.514173731;39.03171492;0;0.250750692;0.68625186;39.02527499;1;0
75;graph75.gml;0.496680192;39.17225599;0;0.151044423;0.5;39.03395653;0;0.145370008;0.563552353;39.09927607;0;0.036742514;0.585048506;39.38934827;1;0;0.601613282;39.12194252;1;0;0.577433628;39.08217549;0;0.040191356;0.5;39.11498451;0;0.168901328
76;graph76.gml;0.5;39.26573229;0;0.112770984;0.563552353;39.43817234;1;0;0.482927402;39.20980501;0;0.143065592;0.486549456;39.63749909;0;0.13663841;0.581877986;39.1838975;0;0.264210735;0.434548516;39.36101556;0;0.450510002;0.790821521;39.24183965;1;0
77;graph77.gml;0.527653644;38.91011071;1;0;0.519030464;38.95556784;0;0.016342499;0.517522907;39.04414058;0;0.019199596;0.495399013;39.26283741;0;0.061128414;0.561339964;39.12678981;1;0;0.485844624;38.68215203;0;0.134491298;0.493186624;38.60818362;0;0.12141188
78;graph78.gml;0.552616444;38.89449859;0;0.069388806;0.511061947;39.37700558;0;0.139366963;0.513098128;39.47773027;0;0.135938015;0.593820973;39.24947643;1;0;0.497787611;39.39748216;0;0.089409347;0.546664529;39.32921839;1;0;0.46019657;38.83656788;0;0.158173715
79;graph79.gml;0.529102465;39.12533236;1;0;0.502212389;39.01603317;0;0.050822057;0.52805623;39.11279964;0;0.001977377;0.5;39.41619611;0;0.055003458;0.486549456;39.11185074;0;0.106334298;0.5;39.60411119;0;0.081629121;0.544442351;38.75477505;1;0
80;graph80.gml;0.515310518;39.2169559;1;0;0.498892582;38.80155849;0;0.031860277;0.467264469;39.15969849;0;0.093237082;0.469653066;39.08737755;0;0.088601824;0.497787611;39.28814006;1;0;0.474958885;39.04163671;0;0.045860374;0.484160858;39.09262633;0;0.027374631
81;graph81.gml;0.5;38.48601866;0;0.161120783;0.596033362;39.07587528;1;0;0.486549456;39.15929389;0;0.183687547;0.510885739;39.39585757;0;0.142857143;0.503141152;39.12755895;0;0.008774996;0.497787611;38.96409297;0;0.019321866;0.507595299;39.17147493;1;0
82;graph82.gml;0.591608583;39.42767119;0;0.058484452;0.628357741;38.76443601;1;0;0.5;39.17410254;0;0.204274942;0.53358598;39.27772427;0;0.150824531;0.618371398;39.23581266;1;0;0.518481038;39.08615708;0;0.161537807;0.533527244;39.13184643;0;0.137205819
83;graph83.gml;0.501859973;39.16028214;0;0.300232728;0.458414911;38.87662816;0;0.360810248;0.717181259;39.1464417;1;0;0.525843841;38.88144112;0;0.266790879;0.635601848;38.77509546;1;0;0.48922072;39.24732375;0;0.230303182;0.530268619;39.34161949;0;0.165722031
84;graph84.gml;0.5;39.47121811;0;0.216083217;0.637822803;39.16682887;1;0;0.477171274;39.30768299;0;0.25187486;0.50646096;39.27558184;0;0.205953507;0.514173731;39.23070097;0;0.087620293;0.5;39.37890983;0;0.112770984;0.563552353;39.31261039;1;0
85;graph85.gml;0.587203383;39.23008966;0;0.062147356;0.562397212;39.12957525;0;0.101766565;0.62611476;39.28969073;1;0;0.466186418;38.80905342;0;0.255429759;0.563552353;38.72712398;1;0;0.514077062;38.96517229;0;0.087791829;0.470357898;39.04955769;0;0.16536965
86;graph86.gml;0.46283969;39.43011642;0;0.15327807;0.526372465;39.04187942;0;0.0370508;0.546625372;38.88467979;1;0;0.501859973;39.05461431;0;0.081894111;0.513274336;38.97544932;0;0.090998533;0.564657324;39.2906518;1;0;0.498892582;39.1969409;0;0.116468413
87;graph87.gml;0.502036181;39.03387356;0;0.082803687;0.520076699;38.52970386;0;0.049844515;0.547359572;39.31788135;1;0;0.5;38.93794322;0;0.086523694;0.51513431;39.02141571;0;0.119501538;0.543003319;39.0321908;0;0.071866157;0.585048506;39.12658596;1;0
88;graph88.gml;0.501104971;39.30353642;0;0.23437427;0.654503828;39.12972093;1;0;0.5;39.12144232;0;0.236062527;0.486549456;39.03223705;0;0.256613277;0.514203099;38.96095967;0;0.092719779;0.5;38.58756495;0;0.117780287;0.566752242;39.10159826;1;0
