,Instancia,Time1,Time2,Time3,Time4,NMI-1,Best1,Desv-1,NMI-2,Best2,Desv-2,NMI-3,Best3,Desv-3,NMI-4,Best4,Desv-4
15,graph15.gml,39.27796649932861,39.5155234336853,39.0052535533905,39.11013889312744,0.11101142452061454,1,0.0,0.04244518345051785,0,0.6176503127150135,0.02255820777161962,0,0.7967938176720666,0.02255820777161962,0,0.7967938176720666
16,graph16.gml,54.25047850608826,53.13992977142334,52.87641906738281,53.65980005264282,0.2429433979864162,1,0.0,0.01,0,0.9588381487915175,0.01,0,0.9588381487915175,0.01,0,0.9588381487915175
17,graph17.gml,33.346739768981934,33.07024884223938,32.94307851791382,33.09798717498779,0.6492218094524099,1,0.0,0.6492218094524099,0,0.0,0.1684114772393229,0,0.7405948555835322,0.1684114772393229,0,0.7405948555835322
18,graph18.gml,57.82834577560425,57.12091064453125,57.81661009788513,57.27669072151184,0.6780430995137954,1,0.0,0.040140109467871055,0,0.940800061977396,0.040140109467871055,0,0.940800061977396,0.040140109467871055,0,0.940800061977396
19,graph19.gml,40.96070313453674,41.54954481124878,41.128990173339844,41.53878164291382,0.027817956962596136,1,0.0,0.01,0,0.6405199701241202,0.012291271930280191,0,0.5581533199290313,0.027817956962596136,0,0.0
20,graph20.gml,46.823668241500854,46.92341232299805,47.31938099861145,47.40785622596741,0.7055611342517952,1,0.0,0.04372061559643504,0,0.9380342631219362,0.04372061559643504,0,0.9380342631219362,0.04372061559643504,0,0.9380342631219362
21,graph21.gml,32.939738750457764,32.593223333358765,32.2257616519928,32.43246006965637,0.5065555302301087,1,0.0,0.5065555302301087,0,0.0,0.01,0,0.9802588277035346,0.5065555302301087,0,0.0
22,graph22.gml,43.01261854171753,42.097148418426514,42.327489614486694,42.408854722976685,0.7601431468114224,1,0.0,0.036678745999897025,0,0.9517475805001286,0.01,0,0.9868445830999766,0.01,0,0.9868445830999766
23,graph23.gml,34.99353384971619,35.32825255393982,34.967610359191895,35.11910676956177,0.01,0,0.9831796482504089,0.01,0,0.9831796482504089,0.594517888143636,1,0.0,0.01,0,0.9831796482504089
24,graph24.gml,47.761876821517944,47.913570404052734,47.772568464279175,48.3814001083374,0.043634907974439543,0,0.9321835360913255,0.043634907974439543,0,0.9321835360913255,0.022377665702726125,0,0.965221098681398,0.643426469908559,1,0.0
25,graph25.gml,34.50495648384094,34.55622148513794,34.396660566329956,34.375550508499146,0.02021816330629434,0,0.6912458729295451,0.04748967912591786,0,0.27477910820841056,0.06548305442304497,1,0.0,0.04748967912591786,0,0.27477910820841056
26,graph26.gml,33.72933483123779,33.34421896934509,33.56201124191284,33.743927001953125,0.006009265116566805,0,0.8751253500046903,0.006009265116566805,0,0.8751253500046903,0.04812237805505372,1,0.0,0.04812237805505372,0,0.0
27,graph27.gml,54.300405740737915,53.78328013420105,54.06529974937439,53.99872922897339,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
28,graph28.gml,42.323707818984985,41.75186347961426,42.14191389083862,42.032145977020264,0.6610227720161945,1,0.0,0.06624397729766635,0,0.8997856350763609,0.06624397729766635,0,0.8997856350763609,0.06624397729766635,0,0.8997856350763609
29,graph29.gml,31.727833032608032,31.60128355026245,31.922727584838867,31.880650281906128,0.4555131565909604,1,0.0,0.042221591457337976,0,0.9073098310193224,0.08003938974970458,0,0.8242874248710713,0.08003938974970458,0,0.8242874248710713
30,graph30.gml,46.3766872882843,45.709577322006226,46.15167784690857,45.37092900276184,0.005752688528970151,0,0.4247311471029849,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0
31,graph31.gml,39.59154796600342,39.31125807762146,39.38606905937195,39.777833223342896,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
32,graph32.gml,46.199968576431274,45.370423555374146,45.01623010635376,45.0893075466156,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
33,graph33.gml,40.840824604034424,39.7359139919281,39.79333710670471,39.7274067401886,0.6535374301111271,1,0.0,0.07619202832213118,0,0.8834159685250536,0.07619202832213118,0,0.8834159685250536,0.07619202832213118,0,0.8834159685250536
34,graph34.gml,57.341535568237305,57.17378115653992,57.43744945526123,57.90198516845703,0.037565351520070796,1,0.0,0.037565351520070796,0,0.0,0.037565351520070796,0,0.0,0.037565351520070796,0,0.0
35,graph35.gml,38.032679080963135,36.888755559921265,36.933536529541016,36.83558392524719,0.6655810601953596,1,0.0,0.007140379001077707,0,0.9892719618569347,0.035466466207549986,0,0.946713528481204,0.035466466207549986,0,0.946713528481204
36,graph36.gml,57.101958990097046,57.58522295951843,56.754966497421265,56.82232642173767,0.03524086450083979,0,0.9498297708552514,0.7024258230745684,1,0.0,0.03524086450083979,0,0.9498297708552514,0.018016538289387745,0,0.9743509738714786
37,graph37.gml,42.69611167907715,42.68942475318909,42.58280277252197,43.01188778877258,0.6643827050112969,1,0.0,0.06301577251789067,0,0.9051513953590661,0.06301577251789067,0,0.9051513953590661,0.06301577251789067,0,0.9051513953590661
38,graph38.gml,60.11585354804993,60.25702691078186,60.99153685569763,59.53365421295166,0.036368454013008596,1,0.0,0.036368454013008596,0,0.0,0.036368454013008596,0,0.0,0.018577522749768496,0,0.48918579978341886
39,graph39.gml,34.162636518478394,34.31908631324768,34.01894688606262,34.081602334976196,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
40,graph40.gml,41.158607721328735,40.69636154174805,40.9492928981781,40.85909080505371,0.012580882295782438,0,0.55472046396943,0.028253897333648668,1,0.0,0.028253897333648668,0,0.0,0.028253897333648668,0,0.0
41,graph41.gml,35.25377941131592,35.37636470794678,35.13089036941528,35.037193775177,0.6782380356154111,1,0.0,0.061297813856366457,0,0.9096219754164232,0.045779679355662004,0,0.9325020465504814,0.023269404319812788,0,0.9656913898986822
42,graph42.gml,46.79469966888428,46.52938747406006,46.04332995414734,46.396671533584595,0.03941767996314471,1,0.0,0.03941767996314471,0,0.0,0.03941767996314471,0,0.0,0.020236388815440754,0,0.48661644129330656
43,graph43.gml,50.36860680580139,50.17579984664917,49.75423002243042,49.89687132835388,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
44,graph44.gml,35.84460687637329,36.05453157424927,36.431211948394775,36.29143476486206,0.09498757041075633,1,0.0,0.09498757041075633,0,0.0,0.09498757041075633,0,0.0,0.04905052015906783,0,0.4836111719990537
45,graph45.gml,38.066192626953125,38.47797393798828,38.12878179550171,38.067577600479126,0.004205664772131786,0,0.9928440354459029,0.004205664772131786,0,0.9928440354459029,0.028841147178741266,0,0.9509266101572919,0.5877145897437296,1,0.0
46,graph46.gml,37.856767654418945,38.20807909965515,37.5511269569397,38.18407964706421,0.004662423032254007,0,0.7857088130468601,0.021757418485313457,1,0.0,0.01,0,0.5403866498798958,0.011295215022400844,0,0.48085683832274206
47,graph47.gml,36.657703161239624,36.47889447212219,36.88866353034973,36.77712535858154,0.01,0,0.6501965453313727,0.01,0,0.6501965453313727,0.01,0,0.6501965453313727,0.028587482103265987,1,0.0
48,graph48.gml,49.098705768585205,48.669275522232056,49.44337558746338,48.68566393852234,0.72385177808218,1,0.0,0.037134649068691884,0,0.9486985454852666,0.037134649068691884,0,0.9486985454852666,0.01904002522255365,0,0.9736962375460353
49,graph49.gml,39.05754852294922,39.071473121643066,39.372185707092285,39.374884843826294,0.02170586722072696,0,0.16624429656724246,0.013343100177967368,0,0.48747102515066676,0.02170586722072696,0,0.16624429656724246,0.02603384556334557,1,0.0
50,graph50.gml,62.31556248664856,61.56898760795593,61.722766637802124,61.71577835083008,0.7000834251928484,1,0.0,0.033357381901714375,0,0.952352275884084,0.033357381901714375,0,0.952352275884084,0.017037029529991178,0,0.9756642866879786
51,graph51.gml,39.102434396743774,38.27745175361633,38.48921084403992,39.42986989021301,0.25748928780922703,0,0.1779389331987668,0.01,0,0.9680739702301597,0.01,0,0.9680739702301597,0.3132240391959659,1,0.0
52,graph52.gml,51.94830632209778,52.135934829711914,51.810718059539795,51.116092681884766,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
53,graph53.gml,47.613003730773926,48.71365284919739,48.232163190841675,48.341853618621826,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
54,graph54.gml,51.86037230491638,52.84186291694641,52.37299394607544,52.948190689086914,0.017721260247995925,0,0.48803310753873586,0.03461407467737131,1,0.0,0.017721260247995925,0,0.48803310753873586,0.03461407467737131,0,0.0
55,graph55.gml,59.1982204914093,58.24361443519592,58.30140471458435,57.659525632858276,0.011312068887855199,1,0.0,0.011312068887855199,0,0.0,0.011312068887855199,0,0.0,0.01,0,0.11598841033083301
56,graph56.gml,34.083823680877686,34.21161365509033,34.17603015899658,34.365174293518066,0.7202589659296511,1,0.0,0.07195240039954318,0,0.9001020413447086,0.05733573788717352,0,0.9203956623946093,0.05733573788717352,0,0.9203956623946093
